player_name,team_name,position_group,count_match,total_minutes_est,sprint_distance_p90,psv99
Brandon Borrello,Western Sydney Wanderers FC,Center Forward,24,2226.5,281.4,30.16
Dylan Pierias,Adelaide United Football Club,Full Back,22,2165.5,326.8,31.21
