event_id,minute,second,team,player,x,y
c4014eb2-6ca7-4f7d-b9b2-089deb07ebb0,62,38,Croatia,Ivan Rakitić,84.0,16.0
20500b3f-aea5-4459-b8a8-e528e1508b15,62,41,Croatia,Ante Rebić,88.0,19.0
206b56f4-0a2f-4f24-8f7b-35d603a793f4,63,4,Croatia,Luka Modrić,86.0,22.0
ddce1473-517e-444e-b484-0880be5dce12,63,17,Croatia,Dejan Lovren,84.0,60.0
40f91667-fddc-49e7-9b7f-f8dda1eea8e1,63,27,Croatia,Luka Modrić,87.0,36.0
a1572dcb-92a0-45d0-8d2d-7522984bcc40,63,35,Croatia,Mario Mandžukić,89.0,68.0
875e3b88-061c-474e-b74e-42879e011b39,63,48,Croatia,Ivan Strinić,98.0,4.0
dfe66c80-350a-48a0-9f54-14660fc23e40,63,57,Croatia,Ante Rebić,90.0,21.0
b95d4083-2f6f-4f0d-a813-ac6b1b7ba9c8,64,33,France,Lucas Hernández Pi,93.0,14.0
50b8eec1-cf3a-4bc2-b512-ac3c95a70587,66,22,Croatia,Šime Vrsaljko,92.0,48.0
637f8d8e-7c8b-4aa2-b680-88961868aea7,69,3,Croatia,Šime Vrsaljko,88.0,78.0
de26876e-7de6-437e-b971-6ccc3dc63197,69,5,Croatia,Ivan Perišić,86.0,71.0
4d57462b-23f5-4b52-b6dd-2d37d41ad0bc,69,7,Croatia,Luka Modrić,86.0,55.0
5e380a7b-3b89-4adb-a45e-15ad98b0ed29,69,24,Croatia,Marcelo Brozović,83.0,26.0
51d767a4-a651-4400-9689-d9ac1ab0f581,70,3,Croatia,Marcelo Brozović,82.0,25.0
4c781e01-f45e-408e-8171-675a413f85d5,70,3,Croatia,Ivan Rakitić,96.0,21.0
8ba28e1a-e63b-4192-ad3b-9e064a4e6714,71,1,France,Blaise Matuidi,82.0,12.0
d85a6c96-fbf0-4cdd-a1fb-4e965b2f3a2c,73,57,France,Kylian Mbappé Lottin,82.0,78.0
6099e333-a16b-45b7-91e0-92b5c67da16f,74,2,France,Antoine Griezmann,89.0,60.0
9431a75c-a98b-48ab-8176-d7a62a0e7380,74,6,France,Corentin Tolisso,88.0,40.0
911f5fc2-053b-4e47-8b6b-95bf4fe7fc00,74,26,Croatia,Šime Vrsaljko,97.0,59.0
