player_name,team_name,position_group,count_match,total_minutes_est,minutes_full_all,sprint_distance_full_all,sprint_count_full_all,psv99,total_distance_full_all,hsr_distance_full_all,sprint_distance_p90,total_distance_p90,hsr_distance_p90
Brandon Borrello,Western Sydney Wanderers FC,Center Forward,24,2226.48,92.77,290.08,15.62,30.16,10760.92,682.75,281.41856203514067,10439.611943516224,662.3639107470088
Dylan Pierias,Adelaide United Football Club,Full Back,22,2165.46,98.43,357.45,16.68,31.21,11208.86,704.0,326.83633038707706,10248.881438585797,643.7061871380677
