role,x,y,teammate,keeper
shooter,104.8,30.1,True,False
freeze_frame_player,93.45843550985448,39.165968386660964,False,False
freeze_frame_player,98.23482892002941,67.9351935470896,True,False
freeze_frame_player,98.98999098111607,36.486761653016536,False,False
freeze_frame_player,99.27470895535741,48.192088699082504,False,False
freeze_frame_player,100.35453080274672,46.354844138203106,False,False
freeze_frame_player,100.9879794175285,38.571195188983495,True,False
freeze_frame_player,102.16150089548931,27.94358300407457,False,False
freeze_frame_player,102.81007547722783,43.325535489477666,False,False
freeze_frame_player,103.61961874777484,37.21543124729102,False,False
freeze_frame_player,104.22738085067665,43.91016991297067,True,False
freeze_frame_player,104.80000305175781,30.100000381469727,True,False
freeze_frame_player,116.3000038198663,39.47819597426793,False,True
